Time,T_Light,T_Medium,T_Heavy,T_Outdoor
2023-03-10 00:30:00,-1.7672951816952542,8.637987830270669,12.207521714473554,-17.72
2023-03-10 01:30:00,-3.0593871862590087,7.593828265210372,11.829067693069662,-17.98
2023-03-10 02:30:00,-4.1491676841674705,6.525357066532465,11.496654673751674,-18.06
2023-03-10 03:30:00,-5.198052843845881,5.407453764464246,11.188273543525286,-18.24
2023-03-10 04:30:00,-6.2011365394591555,4.251502512502388,10.888720669055449,-18.47
2023-03-10 05:30:00,-7.150305879472596,3.0766113776425943,10.587055500699803,-18.73
2023-03-10 06:30:00,-8.00426266598804,1.9174183218666592,10.279136966272908,-18.95
2023-03-10 07:30:00,-8.850867065243623,0.7579370441933867,9.953918087088837,-19.27
2023-03-10 08:30:00,-0.4214990926775807,3.5580843074049686,10.48362211456892,-18.13
2023-03-10 09:30:00,9.463139311774274,8.535654226239318,11.738836876098283,-15.1
2023-03-10 10:30:00,18.844843716229725,14.388939177765204,13.529957320162348,-11.92
2023-03-10 11:30:00,25.828376966327827,19.7510928122691,15.53909322748665,-10.22
2023-03-10 12:30:00,28.56739352525749,23.250052997065424,17.341563422439112,-10.54
2023-03-10 13:30:00,30.43840258200322,25.740932196327172,18.923768402803567,-8.81
2023-03-10 14:30:00,28.366856752160626,26.183997879034347,19.943744199403366,-7.03
2023-03-10 15:30:00,23.213607184395038,24.58804667058886,20.249315126897542,-6.52
2023-03-10 16:30:00,17.748657067336108,22.07891845235405,19.98040686194428,-6.91
2023-03-10 17:30:00,13.504920585040045,19.710481156560927,19.378930101302917,-7.73
2023-03-10 18:30:00,10.68274908040563,17.98608079372435,18.65892739902616,-9.51
2023-03-10 19:30:00,7.6766474627407275,16.41772306135297,17.84924170606438,-13.24
2023-03-10 20:30:00,6.56418592456016,15.676593676054205,17.18587613133145,-13.34
2023-03-10 21:30:00,4.558710207872516,14.768621405203563,16.56077030224005,-14.92
2023-03-10 22:30:00,2.5982842689401875,13.725609899981327,15.993418187002217,-15.99
2023-03-10 23:30:00,0.9774143291677235,12.643766367220737,15.503481528722046,-16.45
2023-03-11 00:30:00,-0.3002975416189931,11.574552547285153,15.095219316363371,-16.49
2023-03-11 01:30:00,-1.518350694007438,10.444759370606427,14.741151629517482,-16.62
2023-03-11 02:30:00,-2.9491504933848973,9.135571585517617,14.394876834194518,-17.21
2023-03-11 03:30:00,-4.290248047528198,7.744654436379973,14.049814164643982,-17.71
2023-03-11 04:30:00,-5.409809208742149,6.373129314149483,13.709511847404546,-17.99
2023-03-11 05:30:00,-6.223500677667398,5.111777116433804,13.38421745253471,-17.96
2023-03-11 06:30:00,-6.5651896282698665,4.0826930441273355,13.098723979217953,-17.39
2023-03-11 07:30:00,-6.679218552262367,3.243398314588553,12.850322228422515,-16.71
2023-03-11 08:30:00,-4.309000180973544,3.5558174436346404,12.855956478500412,-15.0
2023-03-11 09:30:00,1.4717744763635123,5.7975760728331345,13.357971519349906,-12.49
2023-03-11 10:30:00,12.248551725633307,11.01187862156746,14.7002410865819,-10.29
2023-03-11 11:30:00,19.40697467276396,15.990661803931236,16.334576963276525,-8.36
2023-03-11 12:30:00,24.728368299136793,20.317998935106584,18.079573339335177,-8.31
2023-03-11 13:30:00,24.64912326455729,22.16125805172208,19.41369170414632,-6.8
2023-03-11 14:30:00,23.08783132656518,22.45758496490778,20.31401986484747,-6.4
2023-03-11 15:30:00,21.689436897136794,22.194252520496224,20.87213567582964,-6.61
2023-03-11 16:30:00,17.898247948471717,20.711842210223985,20.91598785071699,-7.15
2023-03-11 17:30:00,13.272684172692886,18.45727596336561,20.49869030158584,-8.33
2023-03-11 18:30:00,7.98717959328515,15.610078864716048,19.670178959763348,-10.09
2023-03-11 19:30:00,6.47471277819969,14.106555149909916,18.894285179455448,-11.2
2023-03-11 20:30:00,5.909912073782001,13.464882093541574,18.23439022524423,-11.29
2023-03-11 21:30:00,4.811050185369413,12.934516999389011,17.636739168881697,-12.1
2023-03-11 22:30:00,3.2638490470597907,12.221735242506703,17.07472438594972,-13.2
2023-03-11 23:30:00,1.5682466044340444,11.287148161222719,16.540919706218563,-14.25
2023-03-12 00:30:00,0.021165524745239833,10.224830350479635,16.043009855486126,-14.97
2023-03-12 01:30:00,-1.4380695210478103,9.054266831972761,15.57147501590471,-15.61
2023-03-12 02:30:00,-2.7329234010601358,7.837456086825902,15.12344009167238,-16.08
2023-03-12 03:30:00,-3.914459259038636,6.595105157644032,14.689809297831268,-16.5
2023-03-12 04:30:00,-4.96684318383327,5.359890087413366,14.265426067977252,-16.84
2023-03-12 05:30:00,-5.913291277629181,4.147796475310492,13.844463073416973,-17.14
2023-03-12 06:30:00,-6.701901242653563,2.9982369363145875,13.428425441950965,-17.31
2023-03-12 07:30:00,-7.358414974654176,1.9237305116520582,13.01672203678685,-17.4
2023-03-12 08:30:00,2.0012419674547908,5.158652175303482,13.547887088688237,-14.49
2023-03-12 09:30:00,11.98765083321955,10.360828614590982,14.791480170305299,-12.8
2023-03-12 10:30:00,19.739356324684326,15.641187298156336,16.40875009663453,-11.66
2023-03-12 11:30:00,23.93720871480353,19.616017958756924,18.022353248648947,-9.46
2023-03-12 12:30:00,23.058787633296046,21.000744983348834,19.178123841943602,-7.73
2023-03-12 13:30:00,17.978038247744,19.610327113184944,19.59633960782567,-7.1
2023-03-12 14:30:00,17.67420775957812,19.151149833294234,19.892703376155183,-6.86
2023-03-12 15:30:00,13.378196121917853,17.30784597337148,19.653060355925057,-6.8
