WeatherFile,Latitude,FacadeAzimuth,Cfg_u_window,Cfg_tau_window,Cfg_tau_visible,Cfg_k_const_absorb,Cfg_layer_thickness,Cfg_k_wall,Cfg_rho_wall,Cfg_c_wall,Cfg_ventilation_rate,Cfg_night_cooling,Cfg_night_vent_rate,Cfg_c_room_light,Cfg_module_width,Cfg_room_depth,Cfg_room_height,rows,Global_MAE,Global_R2,ObservedBest_TotalScore,PredBest_PredTotalScore,PredBest_Cfg_window_ratio,PredBest_overhang_depth,PredBest_fin_depth,PredBest_ShadingType
singapore_data.csv,1.35,0.0,2.8,0.75,0.6,0.6,0.3,0.8,1800.0,1000.0,2.0,False,5.0,0.5,4.0,8.0,3.5,4009,0.06809190242701377,0.9999858070757177,41.658485753337686,41.98159451370131,0.6482617877065926,0.0,1.354079865598751,Fins
singapore_data.csv,1.35,180.0,2.8,0.75,0.6,0.6,0.3,0.8,1800.0,1000.0,2.0,False,5.0,0.5,4.0,8.0,3.5,3991,0.06809190242701377,0.9999858070757177,4.964418255597122,4.965143335696625,0.6488251757950604,0.0,0.0,NoShading
