latitude,incidence_angle
0,131.11325717823792
1,130.5839832395183
2,130.04403293888643
3,129.49377440447282
4,128.9335672837223
5,128.36376251029768
6,127.78470213585196
7,127.19671922049885
8,126.6001377760362
9,125.99527275625547
10,125.38243008898078
11,124.76190674481411
12,124.13399083791218
13,123.4989617544712
14,122.85709030494777
15,122.20863889638885
16,121.55386172157593
17,120.89300496200892
18,120.22630700205754
19,119.55399865189395
20,118.87630337708552
21,118.1934375329759
22,117.5056106022087
23,116.8130254339593
24,116.11587848363061
25,115.41436005194343
26,114.70865452250858
27,113.9989405971105
28,113.28539152805965
29,112.56817534708436
30,111.84745509033502
31,111.12338901916313
32,110.39613083641817
33,109.66582989807486
34,108.93263142006575
35,108.19667668024785
36,107.4581032154791
37,106.71704501382162
38,105.97363270192379
39,105.22799372766356
40,104.48025253816202
41,103.73053075329773
42,102.97894733487173
43,102.22561875158871
44,101.47065914003305
45,100.71418046182993
46,99.95629265719023
47,99.19710379504556
48,98.43672021998613
49,97.67524669621821
50,96.91278654876268
51,96.14944180211802
52,95.38531331661422
53,94.62050092268531
54,93.8551035532894
55,93.08921937470612
56,92.3229459159419
57,91.55638019697368
58,90.78961885606213
59,90.0227582763656
60,89.25589471208545
61,88.48912441437453
62,87.7225437572395
63,86.95624936366842
64,86.19033823221454
65,85.42490786426775
66,84.6600563922444
67,83.89588270892664
68,83.13248659818224
69,82.36996886729492
70,81.60843148113523
71,80.8479776984012
72,80.08871221015626
73,79.33074128089096
74,78.5741728923323
75,77.819116890222
76,77.06568513428108
77,76.31399165157322
78,75.56415279347407
79,74.81628739644549
80,74.07051694680541
81,73.32696574967282
82,72.58576110225378
83,71.84703347161975
84,71.1109166771096
85,70.37754807746543
86,69.64706876278642
87,68.91962375135421
88,68.19536219134896
89,67.47443756743397
90,66.75700791214057
