day_of_year,incidence_angle
0,156.72929602837968
1,156.69428001325534
2,156.63603823994924
3,156.55474623538282
4,156.45064610121585
5,156.32404302728864
6,156.17530101220254
7,156.00483792666077
8,155.8131200685396
9,155.60065636437804
10,155.36799237041444
11,155.1157042183436
12,154.84439263780612
13,154.55467717063874
14,154.24719067255836
15,153.92257417757102
16,153.5814721801754
17,153.2245283713495
18,152.85238184701646
19,152.4656637927462
20,152.06499463593082
21,151.65098164681447
22,151.22421696225038
23,150.78527600086687
24,150.33471623505733
25,149.8730762836186
26,149.40087528862497
27,148.9186125409385
28,148.42676732036168
29,147.92579891859265
30,147.41614681565025
31,146.8982309831344
32,146.37245229043626
33,145.83919299277275
34,145.29881728246355
35,144.7516718874234
36,144.19808670303678
37,143.6383754457183
38,143.0728363182809
39,142.5017526789149
40,141.92539370705254
41,141.34401506067303
42,140.757859520645
43,140.16715761878547
44,139.5721282469536
45,138.97297924536508
46,138.36990796870518
47,137.76310182925909
48,137.15273881656853
49,136.53898799346746
50,135.92200996863048
51,135.30195734597658
52,134.6789751514068
53,134.053201237481
54,133.424766666754
55,132.79379607456164
56,132.16040801206742
57,131.5247152703861
58,130.88682518672002
59,130.24683993329776
60,129.60485679000413
61,128.96096840155306
62,128.31526302001248
63,127.66782473344618
64,127.01873368149244
65,126.36806625860801
66,125.71589530560348
67,125.062290290287
68,124.40731747771417
69,123.75104009075233
70,123.09351846150201
71,122.43481017409215
72,121.7749701994241
73,121.114051022323
74,120.45210276151946
75,119.78917328299521
76,119.12530830695451
77,118.46055150894875
78,117.79494461543426
79,117.12852749409112
80,116.46133823927502
81,115.79341325286848
82,115.1247873208003
83,114.45549368550898
84,113.78556411460549
85,113.11502896597582
86,112.44391724945858
87,111.77225668542694
88,111.10007376036788
89,110.42739377966964
90,109.75424091781714
91,109.08063826605478
92,108.4066078777945
93,107.7321708118091
94,107.05734717337354
95,106.3821561535086
96,105.70661606633729
97,105.03074438483026
98,104.35455777484691
99,103.67807212773579
100,103.00130259147966
101,102.32426360050886
102,101.64696890424867
103,100.96943159451457
104,100.29166413172233
105,99.613678370147
106,98.93548558210034
107,98.25709648125321
108,97.57852124505642
109,96.89976953635092
110,96.22085052420552
111,95.54177290406821
112,94.86254491717945
113,94.18317436942
114,93.50366864953072
115,92.82403474682081
116,92.1442792682994
117,91.46440845538807
118,90.78442820019055
119,90.10434406129596
120,89.4241612792674
121,88.74388479175246
122,88.06351924828253
123,87.38306902477723
124,86.70253823782035
125,86.0219307586395
126,85.3412502269369
127,84.66050006454681
128,83.97968348884454
129,83.29880352617977
130,82.6178630250876
131,81.93686466942371
132,81.25581099156801
133,80.57470438544684
134,79.89354711969392
135,79.2123413507018
136,78.53108913589664
137,77.84979244690132
138,77.16845318300298
139,76.48707318459147
140,75.80565424689193
141,75.12419813383634
142,74.44270659213755
143,73.76118136576
144,73.07962421050858
145,72.39803690914863
146,71.71642128673882
147,71.03477922652073
148,70.35311268613864
149,69.67142371452347
150,68.98971446922236
151,68.307987234343
152,67.62624443928365
153,66.94448867804941
154,66.26272272946149
155,65.58094957819013
156,64.89917243677019
157,64.21739476854259
158,63.53562031185351
159,62.85385310530687
160,62.172097514410225
161,61.49035825962867
162,60.8086404459189
163,60.12694959397954
164,59.4452916732992
165,58.76367313714332
166,58.0821009596303
167,57.40058267523541
168,56.71912642062439
169,56.03774097938228
170,55.35643582958491
171,54.675221194589774
172,53.99410809744491
173,53.31310841894269
174,52.632234960016596
175,51.951501508493784
176,51.27092291097282
177,50.5905151500004
178,49.91029542716753
179,49.23028225278514
180,48.550495542542116
181,47.87095672201069
182,47.19168883962271
183,46.51271668914471
184,45.83406694229947
185,45.155768292911375
186,44.477851613381056
187,43.80035012512292
188,43.12329958405465
189,42.44673848307432
190,41.77070827304657
191,41.095253604409585
192,40.42042259174126
193,39.74626710359938
194,39.07284308062933
195,38.40021088498723
196,37.72843568482187
197,37.05758787756572
198,36.38774355687787
199,35.71898502801574
