day_of_year,incidence_angle
0,179.74001126011933
1,179.154572124068
2,178.37022121565272
3,177.57269895106032
4,176.77177701942807
5,175.9695092268917
6,175.1665952934847
7,174.36334231718538
8,173.55990917394797
9,172.75638860960183
10,171.95284021522852
11,171.1493054539454
12,170.3458151858794
13,169.54239372350938
14,168.73906114960792
15,167.93583470756334
16,167.13272966949012
17,166.32975989696337
18,165.52693821384472
19,164.72427666036526
20,163.92178667005024
21,163.1194791951653
22,162.31736479710597
23,161.51545371238308
24,160.7137559013475
25,159.91228108449548
26,159.11103876971194
27,158.3100382728162
28,157.50928873309658
29,156.708799125059
30,155.90857826728666
31,155.10863482907703
32,154.3089773353577
33,153.50961417025036
34,152.710553579604
35,151.9118036726703
36,151.11337242314778
37,150.3152676696939
38,149.5174971160426
39,148.72006833079305
40,147.92298874693932
41,147.12626566120758
42,146.32990623325858
43,145.53391748473777
44,144.73830629828845
45,143.9430794164574
46,143.14824344061083
47,142.35380482978434
48,141.55976989955647
49,140.76614482092563
50,139.97293561919028
51,139.18014817285487
52,138.3877882125792
53,137.5958613201666
54,136.80437292758327
55,136.01332831602681
56,135.22273261505794
57,134.4325908017909
58,133.6429077001127
59,132.85368798000408
60,132.06493615689425
61,131.27665659108203
62,130.48885348723636
63,129.70153089396547
64,128.91469270342887
65,128.12834265104155
66,127.34248431526342
67,126.55712111739939
68,125.7722563215452
69,124.98789303454492
70,124.2040342060527
71,123.42068262866661
72,122.63784093810754
73,121.85551161349684
74,121.07369697770629
75,120.29239919774702
76,119.51162028529018
77,118.73136209718511
78,117.95162633610886
79,117.17241455127206
80,116.39372813917318
81,115.61556834445061
82,114.83793626080278
83,114.06083283196811
84,113.28425885277545
85,112.50821497027455
86,111.73270168495488
87,110.95771935197939
88,110.18326818254762
89,109.40934824530042
90,108.63595946779517
91,107.86310163808156
92,107.09077440628914
93,106.3189772863455
94,105.54770965773623
95,104.77697076733664
96,104.0067597313456
97,103.23707553722699
98,102.4679170458132
99,101.6992829933942
100,100.9311719939465
101,100.1635825414082
102,99.39651301203722
103,98.62996166684123
104,97.8639266541168
105,97.0984060120044
106,96.33339767121434
107,95.5688994577485
108,94.80490909577328
109,94.04142421055163
110,93.2784423314717
111,92.51596089516327
112,91.75397724874028
113,90.99248865308348
114,90.23149228628571
115,89.4709852471683
116,88.71096455894356
117,87.95142717293392
118,87.19236997246416
119,86.43378977687877
120,85.67568334563751
121,84.91804738260649
122,84.16087854046403
123,83.404173425263
124,82.6479286011457
125,81.89214059525547
126,81.13680590276505
127,80.38192099214425
128,79.62748231062947
129,78.87348628981302
130,78.11992935159383
131,77.36680791425023
132,76.61411839876075
133,75.86185723550028
134,75.11002087107069
135,74.35860577555917
136,73.60760844998728
137,72.85702543425873
138,72.1068533152894
139,71.35708873570916
140,70.60772840282208
141,69.85876909813099
142,69.11020768728305
143,68.36204113050103
144,67.61426649369083
145,66.86688095996875
146,66.11988184201137
147,65.37326659493756
148,64.62703283006508
149,63.8811783293423
150,63.135701060795796
151,62.39059919480671
152,61.6458711214053
153,60.901515468779714
154,60.15753112284085
155,59.41391724817998
156,58.67067331039746
157,57.92779910000851
158,57.18529475792806
159,56.44316080292567
160,55.701398160924285
161,54.96000819656073
162,54.21899274711824
163,53.478354159009456
164,52.73809532716575
165,51.99821973755259
166,51.258731513107016
167,50.51963546342561
168,49.780937138743695
169,49.042642888336204
170,48.3047599241705
171,47.56729639005574
172,46.83026143700665
173,46.09366530561681
