day_of_year,incidence_angle
0,123.25689855546631
1,123.24137292471414
2,123.21550869963927
3,123.17932358553038
4,123.13284230206683
5,123.07609651613811
6,123.0091247562388
7,122.93197230900333
8,122.84469109855765
9,122.74733954946753
10,122.6399824341587
11,122.52269070576864
12,122.39554131746442
13,122.25861702932437
14,122.11200620393163
15,121.95580259186936
16,121.79010510833332
17,121.61501760209634
18,121.43064861806045
19,121.23711115463199
20,121.03452241713282
21,120.82300356844092
22,120.60267947801512
23,120.37367847041817
24,120.13613207440392
25,119.89017477357713
26,119.63594375957672
27,119.37357868866673
28,119.10322144255402
29,118.82501589418048
30,118.5391076791682
31,118.24564397352407
32,117.94477327813843
33,117.63664521054628
34,117.32141030434367
35,116.99921981659463
36,116.67022554349266
37,116.33457964448547
38,115.99243447501077
39,115.6439424279369
40,115.28925578375552
41,114.9285265695252
42,114.56190642651629
43,114.1895464864836
44,113.811597256439
45,113.42820851178641
46,113.03952919763259
47,112.64570733808392
48,112.24688995330497
49,111.84322298410152
50,111.43485122377868
51,111.02191825701367
52,110.6045664054715
53,110.182936679885
54,109.7571687383204
55,109.3274008503475
56,108.89376986683034
57,108.45641119505302
58,108.01545877891178
59,107.57104508388969
60,107.123301086549
61,106.67235626828034
62,106.21833861305107
63,105.76137460890034
64,105.30158925294813
65,104.83910605968539
66,104.37404707231073
67,103.90653287692062
68,103.4366826193275
69,102.96461402432432
70,102.49044341720447
71,102.0142857473549
72,101.53625461376265
73,101.05646229227116
74,100.57501976442946
75,100.09203674780657
76,99.60762172761471
77,99.1218819895357
78,98.63492365361921
79,98.14685170913866
80,97.65777005030725
81,97.16778151275038
82,96.67698791063924
83,96.18549007440045
84,95.69338788892098
85,95.20078033217307
86,94.70776551417389
87,94.21444071623202
88,93.72090243040145
89,93.2272463990878
90,92.73356765475525
91,92.23996055966467
92,91.74651884561267
93,91.25333565360731
94,90.76050357343883
95,90.26811468310673
96,89.77626058804233
97,89.28503246011314
98,88.79452107633605
99,88.30481685728728
100,87.81600990515237
101,87.32819004138354
102,86.84144684392297
103,86.35586968395938
104,85.87154776216067
105,85.38857014437055
106,84.90702579669534
107,84.4270036199672
108,83.94859248352266
109,83.47188125825849
110,82.99695884891605
111,82.52391422555291
112,82.05283645413456
113,81.58381472621703
114,81.11693838764762
115,80.65229696624094
116,80.18998019835298
117,79.7300780543132
118,79.27268076263967
119,78.81787883296096
120,78.36576307759543
121,77.91642463169902
122,77.46995497191267
123,77.02644593342849
124,76.58598972540057
125,76.14867894459908
126,75.7146065872429
127,75.28386605891167
128,74.85655118242768
129,74.43275620365729
130,74.0125757950867
131,73.59610505709526
132,73.18343951684732
133,72.77467512465222
134,72.36990824774206
135,71.96923566131522
136,71.57275453679719
137,71.18056242715063
138,70.79275724920223
139,70.40943726282055
140,70.03070104689895
141,69.65664747201441
142,69.2873756696756
143,68.92298499810106
144,68.56357500438847
145,68.20924538306589
146,67.86009593089125
147,67.51622649789272
148,67.17773693454924
149,66.84472703511993
150,66.51729647704367
151,66.19554475641033
152,65.87957111951876
153,65.56947449048411
154,65.26535339496229
155,64.96730588000777
156,64.67542943013893
157,64.38982087966441
158,64.11057632141025
159,63.83779101191422
160,63.57155927326726
161,63.31197439174673
162,63.059128513416695
163,62.81311253691974
164,62.57401600367948
165,62.3419269857638
166,62.116931971681865
167,61.89911575043866
168,61.68856129411802
169,61.485349639392886
170,61.289559768276966
171,61.10126848851768
172,60.920550314047155
173,60.74747734585916
174,60.58211915379747
175,60.42454265963688
176,60.274812021962646
177,60.13298852325896
178,59.99913045968511
179,59.87329303401548
180,59.75552825216935
181,59.64588482381205
182,59.54440806745193
183,59.45113982049501
184,59.366118354631865
185,59.289378297007445
186,59.220950557499606
187,59.16086226251013
188,59.109136695543256
189,59.06579324491388
190,59.03084735880822
191,59.00431050793856
192,58.9861901559928
193,58.97648973800005
194,58.97520864674443
195,58.982342227276845
196,58.997881779572346
197,59.02181456928156
198,59.05412384655628
199,59.09478887280735
200,59.14378495529134
201,59.201083489313596
202,59.26665200784094
203,59.34045423827974
204,59.422450166102536
205,59.51259610503643
206,59.61084477343707
207,59.71714537649245
208,59.831443693849046
209,59.95368217226065
210,60.08380002281078
211,60.22173332227555
212,60.36741511818234
213,60.52077553708566
214,60.68174189562548
215,60.85023881388245
216,61.0261883305988
217,61.20951001979092
218,61.400121108335064
219,61.597936594079506
220,61.8028693640747
221,62.014830312526215
222,62.23372845807654
223,62.45947106006227
224,62.69196373339597
225,62.93111056175942
226,63.17681420879634
227,63.42897602704069
228,63.68749616431358
229,63.952273667369504
230,64.22320658257519
231,64.50019205344037
232,64.78312641484065
233,65.07190528378618
234,65.36642364662528
235,65.66657594257934
236,65.97225614353523
237,66.28335783003484
238,66.59977426342229
239,66.92139845412443
240,67.24812322605786
241,67.5798412771691
242,67.91644523613004
243,68.2578277152207
244,68.60388135944717
245,68.95449889194703
246,69.30957315575196
247,69.66899715197573
248,70.0326640745138
249,70.40046734133828
250,70.77230062248458
251,71.14805786482205
252,71.52763331371969
253,71.91092153169797
254,72.2978174141922
255,72.68821620251867
256,73.08201349416672
257,73.47910525051742
258,73.87938780211651
259,74.28275785159332
260,74.68911247434426
261,75.0983491171025
262,75.51036559447992
263,75.92506008360276
264,76.34233111694553
265,76.76207757345985
266,77.18419866810713
267,77.60859393988684
268,78.03516323845498
269,78.4638067094474
270,78.89442477857068
271,79.3269181345634
272,79.7611877111314
273,80.19713466790967
274,80.63466037056013
275,81.07366637006531
276,81.51405438132656
277,81.9557262610999
278,82.39858398538743
279,82.84252962632223
280,83.28746532864123
281,83.73329328580971
282,84.17991571584547
283,84.62723483695345
284,85.07515284298661
285,85.52357187883514
286,85.97239401577937
287,86.4215212269091
288,86.87085536262663
289,87.32029812631684
290,87.7697510502705
291,88.21911547187737
292,88.66829251018252
293,89.1171830428674
294,89.56568768370778
295,90.01370676058637
296,90.46114029411287
297,90.9078879769148
298,91.35384915370236
299,91.79892280212279
300,92.24300751449996
301,92.68600148055694
302,93.12780247113886
303,93.56830782305839
304,94.00741442510231
305,94.44501870533061
306,94.88101661967433
307,95.31530364198719
308,95.74777475557596
309,96.17832444633625
310,96.60684669756704
311,97.03323498652648
312,97.45738228288481
313,97.87918104909119
314,98.29852324280434
