day_of_year,incidence_angle
0,62.91790835630696
1,63.70244568009215
2,64.4865956889577
3,65.27034099173767
4,66.05366422312149
5,66.83654803994148
6,67.61897511770651
7,68.40092814735138
8,69.18238983216504
9,69.96334288487122
10,70.74377002482588
11,71.52365397531254
12,72.30297746090339
13,73.08172320486462
14,73.85987392658153
15,74.63741233898172
16,75.41432114593414
17,76.19058303960287
18,76.96618069774033
19,77.74109678088378
20,78.5153139294674
21,79.28881476078757
22,80.0615818658499
23,80.83359780603564
24,81.6048451096009
25,82.37530626797347
26,83.1449637318332
27,83.91379990695707
28,84.68179714980907
29,85.44893776285569
30,86.21520398958731
31,86.98057800922467
32,87.74504193109021
33,88.50857778862074
34,89.27116753301036
35,90.03279302642844
36,90.79343603484261
37,91.55307822036706
38,92.3117011331515
39,93.06928620275247
40,93.8258147289814
41,94.58126787219916
42,95.33562664301557
43,96.08887189134894
44,96.8409842948683
45,97.5919443466952
46,98.34173234242603
47,99.09032836633531
48,99.83771227681538
49,100.5838636909299
50,101.32876196806936
51,102.07238619266813
52,102.81471515591923
53,103.55572733641772
54,104.29540087968736
55,105.03371357654069
56,105.77064284019337
57,106.50616568205024
58,107.2402586860975
59,107.97289798185646
60,108.7040592157381
61,109.43371752078431
62,110.1618474846688
63,110.88842311582206
64,111.61341780765329
65,112.33680430065188
66,113.0585546423452
67,113.77864014490008
68,114.49703134025837
69,115.21369793268595
70,115.928608748516
71,116.64173168294398
72,117.35303364372697
73,118.06248049149141
74,118.77003697658556
75,119.475666672109
76,120.17933190296063
77,120.88099367066127
78,121.5806115736243
79,122.2781437226126
80,122.97354665110265
81,123.66677522016981
82,124.3577825175554
83,125.04651975059888
84,125.73293613255701
85,126.41697876191598
86,127.09859249425332
87,127.77771980616033
88,128.45430065067816
89,129.1282723038006
90,129.7995692013388
91,130.46812276564305
92,131.13386122146022
93,131.79670940035382
94,132.45658853285136
95,133.11341602763028
96,133.76710523702255
97,134.4175652079017
98,135.06470041721022
99,135.7084104912218
100,136.34858990766497
101,136.9851276797688
102,137.61790702142923
103,138.2468049924276
104,138.8716921230157
105,139.4924320168563
106,140.10888093163769
107,140.7208873366221
108,141.3282914465564
109,141.9309247314735
110,142.52860940224724
111,143.12115787179704
112,143.70837219233545
113,144.29004346943745
114,144.86595125401442
115,145.43586291407158
116,145.99953298864617
117,146.55670252732364
118,147.10709841947894
119,147.65043271874995
120,148.18640196944355
121,148.71468654315274
122,149.23494999555436
123,149.74683845545792
124,150.24998006011464
125,150.74398445359992
126,151.22844236722307
127,151.702925304259
128,152.16698535385788
129,152.62015516197928
130,153.0619480904709
131,153.49185859766246
132,153.90936287653525
133,154.31391978805078
134,154.70497212826345
135,155.08194826717445
136,155.44426419589414
137,155.79132601448399
138,156.12253288718262
139,156.43728048319537
140,156.7349649098365
141,157.01498713101762
142,157.2767578468519
143,157.51970279129714
144,157.74326838308
145,157.94692764346217
146,158.13018627199767
147,158.29258875132808
148,158.4337243347138
149,158.55323275757712
150,158.65080950854687
151,158.72621049676437
152,158.7792559625204
153,158.80983349653252
154,158.81790005991274
155,158.8034829299405
156,158.76667953503858
157,158.70765618268481
158,158.62664572450666
159,158.52394424021873
160,158.39990685449408
161,158.25494282625843
162,158.0895100671046
163,157.90410925416842
164,157.69927770305887
165,157.4755831591717
166,157.23361765229848
167,156.97399154130258
168,156.69732785460107
169,156.40425700977516
170,156.09541197314246
171,155.77142389897642
172,155.43291826876455
173,155.08051153436097
174,154.71480825491443
175,154.3363987068054
176,153.94585693741877
177,153.5437392282957
178,153.13058292954304
179,152.7069056260261
180,152.27320459585343
181,151.8299565225453
182,151.37761742458778
183,150.91662276823317
184,150.44738773257615
185,149.9703075987854
186,149.48575823866565
187,148.99409668046786
188,148.49566173294915
189,147.9907746513757
190,147.4797398313188
191,146.96284551878165
192,146.44036452662874
193,145.9125549495939
194,145.3796608710963
195,144.8419130569909
196,144.299529631923
197,143.75271673550714
198,143.20166915582536
199,142.64657093881775
200,142.08759597250472
201,141.52490854543677
202,140.95866387936218
203,140.3890086359743
204,139.81608139842754
205,139.24001312784492
206,138.66092759584149
207,138.07894179360514
208,137.49416631851685
209,136.90670573935157
210,136.31665894074445
211,135.72411944822153
212,135.12917573448055
213,134.53191150806805
214,133.9324059852588
215,133.33073414624587
216,132.72696697622987
217,132.12117169260168
218,131.51341195874986
219,130.90374808538493
220,130.29223722024247
221,129.6789335265767
222,129.06388835147683
223,128.4471503842616
224,127.82876580591504
225,127.20877842983029
226,126.58722983450869
227,125.96415948882229
228,125.33960487007931
229,124.71360157552492
230,124.08618342754518
231,123.45738257316853
232,122.8272295779101
233,122.19575351467887
234,121.56298204767347
235,120.9289415119589
236,120.29365698860963
237,119.65715237606346
238,119.01945045762253
239,118.38057296545401
240,117.74054064141896
241,117.09937329469275
242,116.45708985656655
