day_of_year,incidence_angle
0,23.263901750009445
1,23.287262448531152
2,23.333912701081836
3,23.403711282408786
4,23.496448977036888
5,23.61185162504241
6,23.749584021211955
7,23.9092545414644
8,24.09042035326963
9,24.292593057276402
10,24.515244605364774
11,24.75781334522548
12,25.019710052294464
13,25.300323825126522
14,25.599027738636433
15,25.915184169669566
16,26.248149729802005
17,26.59727976002874
18,26.961932360254416
19,27.34147194267011
20,27.73527231182863
21,28.142719285441572
22,28.563212878555312
23,28.99616908009883
24,29.44102125499392
25,29.89722120737342
26,30.36423994140154
27,30.841568155757145
28,31.328716506731578
29,31.825215672852835
30,32.33061625169806
31,32.84448851689635
32,33.36642206054746
33,33.896025343597366
34,34.43292517399359
35,34.97676612989419
36,35.5272099428432
37,36.08393485366752
38,36.646634951834116
39,37.21501950730763
40,37.788812302301565
41,38.36775096904608
42,38.9515863384287
43,39.54008180336532
44,40.13301269990968
45,40.73016570829423
46,41.33133827552875
47,41.93633806066832
48,42.54498240332833
49,43.15709781580655
50,43.77251949878137
51,44.39109088034465
52,45.012663177965464
53,45.6370949828386
54,46.26425186593943
55,46.89400600502639
56,47.526235831798914
57,48.16082569840754
58,48.797665562381084
59,49.43665068920353
60,50.07768137157926
61,50.7206626646357
62,51.36550413615266
63,52.012119631046005
64,52.66042704933244
65,53.31034813681125
66,53.96180828772814
67,54.61473635874064
68,55.26906449355976
69,55.92472795758506
70,56.58166498197464
71,57.23981661657907
72,57.89912659124282
73,58.55954118489431
74,59.22100910200964
75,59.88348135601603
76,60.54691115916153
77,61.211253818484074
78,61.87646663753858
79,62.542508823474435
80,63.20934139916885
81,63.87692712011774
82,64.54523039578926
83,65.21421721511472
84,65.88385507598841
85,66.55411291839299
86,67.22496106102741
87,67.89637114118881
88,68.56831605772487
89,69.24076991683384
90,69.91370798064284
91,70.58710661823366
92,71.26094325915888
93,71.93519634913662
94,72.60984530789383
95,73.2848704889935
96,73.96025314154085
97,74.63597537361781
98,75.31202011744011
99,75.98837109600815
100,76.66501279126354
101,77.34193041358697
102,78.01910987265941
103,78.69653774948634
104,79.37420126957056
105,80.0520882772248
106,80.73018721083461
107,81.40848707910932
108,82.08697743822366
109,82.76564836980884
110,83.4444904597026
111,84.1234947775124
112,84.80265285677775
113,85.48195667588087
114,86.16139863949586
115,86.84097156063967
116,87.52066864324794
117,88.20048346525157
118,88.88040996208109
119,89.56044241066745
120,90.24057541373982
121,90.9208038845823
122,91.60112303205189
123,92.28152834593139
124,92.96201558255663
125,93.64258075065871
126,94.32322009749504
127,95.0039300950722
128,95.68470742666828
129,96.36554897332454
130,97.0464518006486
131,97.72741314551048
132,98.4084304029729
133,99.08950111312079
134,99.7706229480407
135,100.45179369862923
136,101.13301126147954
137,101.81427362569924
138,102.49557885951346
139,103.17692509689317
140,103.85831052392908
141,104.5397333650638
142,105.2211918690646
143,105.90268429484402
144,106.5842088968483
145,107.26576391024152
146,107.94734753573017
147,108.62895792387116
148,109.3105931590907
149,109.99225124308046
150,110.67393007779187
151,111.35562744767903
152,112.03734100148755
153,112.71906823315514
154,113.40080646211256
155,114.0825528126332
156,114.76430419234069
157,115.446057269766
158,116.12780845071497
159,116.80955385366055
160,117.49128928369856
161,118.17301020530572
162,118.85471171349515
163,119.53638850350525
164,120.21803483860947
165,120.8996445161594
166,121.5812108315897
167,122.26272654009334
168,122.94418381606958
169,123.6255742097759
170,124.30688860132842
171,124.9881171514433
172,125.66924924894779
173,126.35027345456623
174,127.03117744079013
175,127.71194792729055
176,128.392570611692
177,129.07303009516824
178,129.7533098022664
179,130.43339189470893
180,131.11325717823792
181,131.79288500220966
182,132.47225315086328
183,133.15133772582135
184,133.83011301859256
185,134.50855137238128
186,135.18662303193184
187,135.86429598024563
188,136.54153576086537
189,137.21830528403962
190,137.89456461535312
191,138.57027074459762
192,139.2453773331049
193,139.91983443682665
194,140.59358820283347
195,141.2665805359152
196,141.93874873218
197,142.61002507575955
198,143.28033639425954
199,143.94960356840215
200,144.61774099013837
201,145.28465596337543
202,145.9502480402393
203,146.61440828518562
204,147.27701845798117
205,147.93795010576815
206,148.59706355285203
207,149.25420677538588
208,149.90921414680957
209,150.56190503753865
210,151.2120822509423
211,151.85953027479994
212,152.5040133255422
213,153.14527315934615
214,153.78302662182986
215,154.41696290478313
216,155.04674047561878
217,155.67198364244587
218,156.29227871512114
219,156.90716972135243
220,157.51615363612137
221,158.11867508481217
222,158.71412048454465
223,159.30181159758854
224,159.8809984852945
225,160.45085187481396
226,161.01045498548763
227,161.55879491174923
228,162.0947537289239
229,162.61709958176127
230,163.12447813830116
231,163.61540494757529
232,164.0882594297708
233,164.5412814488121
234,164.97257165794318
235,165.38009704388134
236,165.76170328335832
237,166.11513560434412
238,166.4380697312718
239,166.7281540955055
240,166.98306372457958
241,167.20056504484438
242,167.3785892864461
243,167.5153104368918
244,167.60922205785755
245,167.65920616597762
246,167.6645871856234
247,167.6251649655551
248,167.5412229865549
249,167.41351082092817
250,167.24320303377547
251,167.03183937464817
252,166.78125278403576
253,166.493492217087
254,166.17074667532657
255,165.8152754687477
256,165.42934802492945
257,165.01519488957385
258,164.57497017009212
259,164.11072467623436
260,163.6243884088085
261,163.11776077847327
262,162.5925069097585
263,162.05015851248237
264,161.49211800993575
265,160.91966484932252
266,160.33396314876927
267,159.73607004034253
268,159.12694424210184
269,158.50745453089525
270,157.87838789656365
271,157.2404572402572
272,156.59430853993777
273,155.940527448668
274,155.27964532183
275,154.61214468810869
276,153.93846419268806
277,153.25900304747356
278,152.57412502666088
279,151.8841620476618
280,151.18941737578393
281,150.49016849002737
282,149.7866696442644
283,149.07915415629645
284,148.3678364536639
285,147.65291390266725
286,146.93456844450213
287,146.21296805966503
288,145.48826807984736
289,144.76061236398735
290,144.03013435363727
291,143.296958020999
292,142.5611987214733
293,141.82296396086323
294,141.08235408696103
295,140.33946291348528
296,139.59437828339207
297,138.84718257846214
298,138.09795318053585
299,137.34676288948455
300,136.59368030242356
301,135.8387701582813
302,135.0820936509305
303,134.32370871449214
304,133.56367028303006
305,132.80203052768465
306,132.03883907322984
307,131.27414319581453
308,130.50798800414026
309,129.7404166052635
310,128.97147025674434
