time_sec,hour,day_of_year,incidence_angle
15552000,0.0,180,49.23028225278514
15552300,0.08333333333333333,180,50.298024500121535
15552600,0.16666666666666666,180,51.371695515559836
15552900,0.25,180,52.4509009469901
15553200,0.3333333333333333,180,53.5352751298309
15553500,0.4166666666666667,180,54.624478561533024
15553800,0.5,180,55.71819560847934
15554100,0.5833333333333334,180,56.816132423295144
15554400,0.6666666666666666,180,57.91801505308602
15554700,0.75,180,59.02358771975627
15555000,0.8333333333333334,180,60.13261125612346
15555300,0.9166666666666666,180,61.24486168225653
15555600,1.0,180,62.360128908533
15555900,1.0833333333333333,180,63.47821555281405
15556200,1.1666666666666667,180,64.59893586031995
15556500,1.25,180,65.72211471637334
15556800,1.3333333333333333,180,66.84758674226988
15557100,1.4166666666666667,180,67.9751954665821
15557400,1.5,180,69.10479256386247
15557700,1.5833333333333333,180,70.23623715434654
15558000,1.6666666666666667,180,71.36939515841487
15558300,1.75,180,72.50413870017208
15558600,1.8333333333333333,180,73.64034555543643
15558900,1.9166666666666667,180,74.77789863924045
15559200,2.0,180,75.91668552909269
15559500,2.0833333333333335,180,77.05659801995718
15559800,2.1666666666666665,180,78.19753170765128
15560100,2.25,180,79.33938559765373
15560400,2.3333333333333335,180,80.48206173615422
15560700,2.4166666666666665,180,81.62546486106923
15561000,2.5,180,82.76950207019406
15561300,2.5833333333333335,180,83.91408250459745
15561600,2.6666666666666665,180,85.0591170447476
15561900,2.75,180,86.20451801773825
15562200,2.8333333333333335,180,87.35019891341982
15562500,2.9166666666666665,180,88.49607410774576
15562800,3.0,180,89.6420585917144
15563100,3.0833333333333335,180,90
15563400,3.1666666666666665,180,90
15563700,3.25,180,90
15564000,3.3333333333333335,180,90
15564300,3.4166666666666665,180,90
15564600,3.5,180,90
15564900,3.5833333333333335,180,90
15565200,3.6666666666666665,180,90
15565500,3.75,180,90
15565800,3.8333333333333335,180,90
15566100,3.9166666666666665,180,90
15566400,4.0,180,90
15566700,4.083333333333333,180,90
15567000,4.166666666666667,180,90
15567300,4.25,180,90
15567600,4.333333333333333,180,90
15567900,4.416666666666667,180,90
15568200,4.5,180,90
15568500,4.583333333333333,180,90
15568800,4.666666666666667,180,90
15569100,4.75,180,90
15569400,4.833333333333333,180,90
15569700,4.916666666666667,180,90
15570000,5.0,180,90
15570300,5.083333333333333,180,90
15570600,5.166666666666667,180,90
15570900,5.25,180,90
15571200,5.333333333333333,180,90
15571500,5.416666666666667,180,90
15571800,5.5,180,90
15572100,5.583333333333333,180,90
15572400,5.666666666666667,180,90
15572700,5.75,180,90
15573000,5.833333333333333,180,90
15573300,5.916666666666667,180,90
15573600,6.0,180,90
15573900,6.083333333333333,180,90
15574200,6.166666666666667,180,90
15574500,6.25,180,90
15574800,6.333333333333333,180,90
15575100,6.416666666666667,180,90
15575400,6.5,180,90
15575700,6.583333333333333,180,90
15576000,6.666666666666667,180,90
15576300,6.75,180,90
15576600,6.833333333333333,180,90
15576900,6.916666666666667,180,90
15577200,7.0,180,90
15577500,7.083333333333333,180,90
15577800,7.166666666666667,180,90
15578100,7.25,180,90
15578400,7.333333333333333,180,90
15578700,7.416666666666667,180,90
15579000,7.5,180,90
15579300,7.583333333333333,180,90
15579600,7.666666666666667,180,90
15579900,7.75,180,90
15580200,7.833333333333333,180,90
15580500,7.916666666666667,180,90
15580800,8.0,180,90
15581100,8.083333333333334,180,90
15581400,8.166666666666666,180,90
15581700,8.25,180,90
15582000,8.333333333333334,180,90
15582300,8.416666666666666,180,90
15582600,8.5,180,90
15582900,8.583333333333334,180,90
15583200,8.666666666666666,180,90
15583500,8.75,180,90
15583800,8.833333333333334,180,90
15584100,8.916666666666666,180,90
15584400,9.0,180,90
15584700,9.083333333333334,180,90
15585000,9.166666666666666,180,90
15585300,9.25,180,90
15585600,9.333333333333334,180,90
15585900,9.416666666666666,180,90
15586200,9.5,180,90
15586500,9.583333333333334,180,90
15586800,9.666666666666666,180,90
15587100,9.75,180,90
15587400,9.833333333333334,180,90
15587700,9.916666666666666,180,90
15588000,10.0,180,90
15588300,10.083333333333334,180,90
15588600,10.166666666666666,180,90
15588900,10.25,180,90
15589200,10.333333333333334,180,90
15589500,10.416666666666666,180,90
15589800,10.5,180,90
15590100,10.583333333333334,180,90
15590400,10.666666666666666,180,90
15590700,10.75,180,90
15591000,10.833333333333334,180,90
15591300,10.916666666666666,180,90
15591600,11.0,180,90
15591900,11.083333333333334,180,90
15592200,11.166666666666666,180,90
15592500,11.25,180,90
15592800,11.333333333333334,180,90
15593100,11.416666666666666,180,90
15593400,11.5,180,90
15593700,11.583333333333334,180,90
15594000,11.666666666666666,180,90
15594300,11.75,180,90
15594600,11.833333333333334,180,90
15594900,11.916666666666666,180,90
15595200,12.0,180,90
15595500,12.083333333333334,180,90
15595800,12.166666666666666,180,90
15596100,12.25,180,90
15596400,12.333333333333334,180,90
15596700,12.416666666666666,180,90
15597000,12.5,180,90
15597300,12.583333333333334,180,90
15597600,12.666666666666666,180,90
15597900,12.75,180,90
15598200,12.833333333333334,180,90
15598500,12.916666666666666,180,90
15598800,13.0,180,90
15599100,13.083333333333334,180,90
15599400,13.166666666666666,180,90
15599700,13.25,180,90
15600000,13.333333333333334,180,90
15600300,13.416666666666666,180,90
15600600,13.5,180,90
15600900,13.583333333333334,180,90
15601200,13.666666666666666,180,90
15601500,13.75,180,90
15601800,13.833333333333334,180,90
15602100,13.916666666666666,180,90
15602400,14.0,180,90
15602700,14.083333333333334,180,90
15603000,14.166666666666666,180,90
15603300,14.25,180,90
15603600,14.333333333333334,180,90
15603900,14.416666666666666,180,90
15604200,14.5,180,90
15604500,14.583333333333334,180,90
15604800,14.666666666666666,180,90
15605100,14.75,180,90
15605400,14.833333333333334,180,90
15605700,14.916666666666666,180,90
15606000,15.0,180,90
15606300,15.083333333333334,180,89.58624544462823
15606600,15.166666666666666,180,88.44033101921231
15606900,15.25,180,87.29453188213813
15607200,15.333333333333334,180,86.14893311825581
15607500,15.416666666666666,180,85.00362044338618
15607800,15.5,180,83.85868047586696
15608100,15.583333333333334,180,82.71420101366857
15608400,15.666666666666666,180,81.57027131870406
