time_sec,hour,day_of_year,incidence_angle
2592000,0.0,30,90
2593800,0.5,30,90
2595600,1.0,30,90
2597400,1.5,30,90
2599200,2.0,30,90
2601000,2.5,30,90
2602800,3.0,30,90
2604600,3.5,30,90
2606400,4.0,30,90
2608200,4.5,30,90
2610000,5.0,30,90
2611800,5.5,30,90
2613600,6.0,30,90
2615400,6.5,30,90
2617200,7.0,30,90
2619000,7.5,30,90
2620800,8.0,30,87.92445696220915
2622600,8.5,30,80.94257420553174
2624400,9.0,30,74.01090046613933
2626200,9.5,30,67.15142515605986
2628000,10.0,30,60.394227468725866
2629800,10.5,30,53.78262010549415
2631600,11.0,30,47.381776608168046
2633400,11.5,30,41.29355606757916
2635200,12.0,30,35.68167115019672
2637000,12.5,30,30.81042337534629
2638800,13.0,30,27.084816690423796
2640600,13.5,30,25.023607800872142
2642400,14.0,30,25.04210133791956
2644200,14.5,30,27.13614174423592
2646000,15.0,30,30.88588396270821
2647800,15.5,30,35.773406245929955
2649600,16.0,30,41.39625416189581
2651400,16.5,30,47.49222943373271
2653200,17.0,30,53.89897251615865
2655000,17.5,30,60.51544359808692
2656800,18.0,30,67.27697052354043
2658600,18.5,30,74.14056227418654
2660400,19.0,30,81.07636209401477
2662200,19.5,30,88.06255080384558
2664000,20.0,30,90
2665800,20.5,30,90
2667600,21.0,30,90
2669400,21.5,30,90
2671200,22.0,30,90
2673000,22.5,30,90
2674800,23.0,30,90
2676600,23.5,30,90
2678400,0.0,31,90
2680200,0.5,31,90
2682000,1.0,31,90
2683800,1.5,31,90
2685600,2.0,31,90
2687400,2.5,31,90
2689200,3.0,31,90
2691000,3.5,31,90
2692800,4.0,31,90
2694600,4.5,31,90
2696400,5.0,31,90
2698200,5.5,31,90
2700000,6.0,31,90
2701800,6.5,31,90
2703600,7.0,31,90
2705400,7.5,31,90
2707200,8.0,31,88.66771628184767
2709000,8.5,31,81.6713689994261
2710800,9.0,31,74.72255584767235
2712600,9.5,31,67.84227488092523
2714400,10.0,31,61.05911814893114
2716200,10.5,31,54.41411495438929
2718000,11.0,31,47.968850808719615
2719800,11.5,31,41.819467469156116
2721600,12.0,31,36.120693818360934
2723400,12.5,31,31.123937866733122
2725200,13.0,31,27.220992337950268
2727000,13.5,31,24.932701738468314
2728800,14.0,31,24.71270860755585
2730600,14.5,31,26.61253153410327
2732400,15.0,31,30.234720556645378
2734200,15.5,31,35.048336981728674
2736000,16.0,31,40.630792852385355
2737800,16.5,31,46.70555862660399
2739600,17.0,31,53.10197110099649
2741400,17.5,31,59.71444747338604
2743200,18.0,31,66.47584548060848
2745000,18.5,31,73.34182573872914
2746800,19.0,31,80.28180631571207
2748600,19.5,31,87.27361005604361
2750400,20.0,31,90
2752200,20.5,31,90
2754000,21.0,31,90
2755800,21.5,31,90
2757600,22.0,31,90
2759400,22.5,31,90
2761200,23.0,31,90
2763000,23.5,31,90
2764800,0.0,32,90
2766600,0.5,32,90
2768400,1.0,32,90
2770200,1.5,32,90
2772000,2.0,32,90
2773800,2.5,32,90
2775600,3.0,32,90
2777400,3.5,32,90
2779200,4.0,32,90
2781000,4.5,32,90
2782800,5.0,32,90
2784600,5.5,32,90
2786400,6.0,32,90
2788200,6.5,32,90
2790000,7.0,32,90
2791800,7.5,32,90
2793600,8.0,32,89.40986280105705
2795400,8.5,32,82.39920029059913
2797200,9.0,32,75.43350837963908
2799000,9.5,32,68.53283606936061
2800800,10.0,32,61.72435662164365
2802600,10.5,32,55.04692638106847
2804400,11.0,32,48.558719980965876
2806200,11.5,32,42.35043433949184
2808000,12.0,32,36.568173708611866
2809800,12.5,32,31.450676394877146
2811600,13.0,32,27.375745448620673
2813400,13.5,32,24.86320505836029
2815200,14.0,32,24.401586865860864
2817000,14.5,32,26.100193702303773
2818800,15.0,32,29.58891838398067
2820600,15.5,32,34.32534364614203
2822400,16.0,32,39.86596524025067
2824200,16.5,32,45.919023432229764
2826000,17.0,32,52.305030545085316
2827800,17.5,32,58.913608285305706
2829600,18.0,32,65.67502832978737
2831400,18.5,32,72.54355005237757
2833200,19.0,32,79.48784136885014
2835000,19.5,32,86.48535360012099
2836800,20.0,32,90
2838600,20.5,32,90
2840400,21.0,32,90
2842200,21.5,32,90
2844000,22.0,32,90
2845800,22.5,32,90
2847600,23.0,32,90
2849400,23.5,32,90
2851200,0.0,33,90
2853000,0.5,33,90
2854800,1.0,33,90
2856600,1.5,33,90
2858400,2.0,33,90
2860200,2.5,33,90
2862000,3.0,33,90
2863800,3.5,33,90
2865600,4.0,33,90
2867400,4.5,33,90
2869200,5.0,33,90
2871000,5.5,33,90
2872800,6.0,33,90
2874600,6.5,33,90
2876400,7.0,33,90
2878200,7.5,33,90
2880000,8.0,33,90
2881800,8.5,33,83.12604526337164
2883600,9.0,33,76.14373276916821
2885400,9.5,33,69.22307596360918
2887200,10.0,33,62.389894371505825
2889000,10.5,33,55.680976551022056
2890800,11.0,33,49.15125552037769
2892600,11.5,33,42.88624657723548
2894400,12.0,33,37.02378839775295
