Period,Avg_Indoor_Temp_C,Avg_Outdoor_Temp_C,Avg_Cooling_Rate_kW,Peak_Cooling_Rate_kW,Total_Cooling_Energy_kWh
Daytime (Passive),33.98,28.67,1.09,2.12,14.21
Night Cooling (Active),37.03,29.07,0.92,2.85,10.08
